state,jurisdiction_name,geography_type,population,rejection_reason,email_found,source_urls,notes,official_site_found,planning_page_found,pages_fetched_count,pdfs_fetched_count,raw_emails_found_count,generic_emails_found_count,candidate_titles_found_count,direct_email_candidates_count,best_rejection_reason,search_urls_found,search_urls_fetched,manual_url_used,manual_url_result,candidate_source_url,email_source_url,discovery_method,jurisdiction_match_notes,candidate_name,candidate_title
FL,Bradenton,city,56289,no_planning_contact_found,,https://www.bradentonfl.gov/planning; https://www.bradentonfl.gov/departments/planning; https://www.bradentonfl.gov/Directory.aspx; https://www.bradentonfl.gov/employees; https://www.bradentonfl.gov/; https://www.bradentonfl.gov/departments; https://www.bradentonfl.gov/contactus; https://www.bradentonfl.gov/compplan,raw_emails=; generic=,yes,yes,10,0,0,0,1,0,no_planning_contact_found,0,0,,,,,,,,
GA,Smyrna,city,56285,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Sarasota,city,56218,no_planning_contact_found,,https://www.sarasotafl.gov/departments/planning; https://www.sarasotafl.gov/Department-Pages/Planning/Active-Zoning-Text-Amendments; https://www.sarasotafl.gov/Department-Pages/Planning/Active-Zoning-Text-Amendments?oc_lang=en-US; https://www.sarasotafl.gov/Department-Pages/Planning/Active-Zoning-Text-Amendments?oc_lang=es; https://www.sarasotafl.gov/Department-Pages/Planning/Active-Zoning-Text-Amendments?oc_lang=fr; https://www.sarasotafl.gov/Departments/Staff-Directory; https://www.sarasotafl.gov/Departments/Staff-Directory?oc_lang=en-US; https://www.sarasotafl.gov/Departments/Staff-Directory?oc_lang=es,raw_emails=contactus@sarasotafl.gov; generic=,yes,yes,10,0,1,0,0,0,no_planning_contact_found,0,0,,,,,,,,
FL,Apopka,city,56202,only_generic_email_found,planning@apopka.net,https://www.apopka.gov/planning; https://www.apopka.gov/219/Community-Development-Services; https://www.apopka.gov/281/Planning-Zoning; https://www.apopka.gov/293/Planning-Commission; https://www.apopka.gov/directory; https://www.apopka.gov/Directory.aspx; https://www.apopka.gov/directory.aspx; https://www.apopka.gov/directory.aspx?did=29,"raw_emails=planning@apopka.net, jhanson@apopka.net",yes,yes,10,0,2,1,0,0,only_generic_email_found,0,0,,,,,,,,
OR,Tigard,city,55395,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
CA,Citrus Heights,city,87036,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
MN,Plymouth,city,79526,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
MN,Brooklyn Park,city,84349,no_official_site_found,,,"Could not resolve official website (resolver=none, searches=8, rejections=36)",no,no,0,0,0,0,0,0,no_official_site_found,0,0,,,,,,,,
CA,Merced,city,89766,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
MN,Bloomington,city,88838,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,San Leandro,city,88531,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Santa Barbara,city,88024,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
MN,Duluth,city,86863,only_generic_email_found,planning@duluthmn.gov,https://www.duluthmn.gov/; https://www.duluthmn.gov/planning-development/land-use-zoning-and-applications/zoning-regulations; https://www.duluthmn.gov/planning-development/community-development/program-overview; https://www.duluthmn.gov/planning-development/community-development/annual-funding-process; https://www.duluthmn.gov/planning-development/community-development/resources-for-subrecipients; https://www.duluthmn.gov/planning-development; https://www.duluthmn.gov/public-works-utilities/department-divisions/street-maintenance; https://www.duluthmn.gov/public-works-utilities/department-divisions/utility-operations,"raw_emails=planning@duluthmn.gov, duluthcommdev@duluthmn.gov, cbednar@duluthmn.gov, gguerrero@duluthmn.gov, pwucustomerservice@duluthmn.gov",yes,yes,10,0,6,1,0,0,only_generic_email_found,0,0,,,,,,,,
CA,Manteca,city,86521,only_generic_email_found,info@mantecatransit.com,https://manteca.org/city-of-manteca; https://manteca.org/our-staff; https://manteca.org/contact-us; https://manteca.org/city-of-manteca/contact,"raw_emails=mantecaeng@ci.manteca.ca.us, mantecabuilding@ci.manteca.ca.us, mantecaadminsvc@ci.manteca.ca.us, mantecapw@ci.manteca.ca.us, chamber@manteca.org",yes,no,4,0,19,1,0,0,only_generic_email_found,0,0,,,,,,,,
TX,Mission,city,86234,no_planning_contact_found,,https://www.missioncity.org/staff; https://www.missioncity.org/; https://www.missioncity.org/contact,"raw_emails=magenta-pollen@missioncity.flywheelsites.com, pjackson@missioncity.org; generic=",yes,no,3,0,2,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Hawthorne,city,85933,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Whittier,city,85925,no_planning_contact_found,,https://www.whittiercity.org/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Livermore,city,85870,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,San Ramon,city,85734,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
TX,Baytown,city,84538,only_generic_email_found,planning@baytown.org,https://www.baytown.org/directory; https://www.baytown.org/191/Planning-and-Zoning; https://www.baytown.org/1049/Planning-Development-Services; https://www.baytown.org/Directory.aspx; https://www.baytown.org/Directory.aspx?did=12; https://www.baytown.org/directory.aspx?EID=311; https://www.baytown.org/directory.aspx?EID=315; https://www.baytown.org/Directory.aspx?did=32,"raw_emails=tim.chi@baytown.org, leslie.perez@baytown.org, planning@baytown.org, helen.mongiello@baytown.org",yes,yes,10,0,4,1,4,0,only_generic_email_found,0,0,,,,,,,,
CA,Newport Beach,city,84304,no_planning_contact_found,,https://www.newportbeachca.gov/planning; https://www.newportbeachca.gov/Home/Components/Calendar/Event/81261; https://www.newportbeachca.gov/Home/Components/Calendar/Event/83817; https://www.newportbeachca.gov/government/departments/community-development/planning-division/operational-hours-staff; https://www.newportbeachca.gov/government/departments/community-development/planning-division/zoning-administrator; https://www.newportbeachca.gov/government/departments/community-development; https://www.newportbeachca.gov/government/departments/community-development/planning-division/general-plan-codes-and-regulations/general-plan-update/lower-castaways-and-aquatic-center-site-ad-hoc-committee; https://www.newportbeachca.gov/government/departments/community-development/planning-division,"raw_emails=cwilson@newportbeachca.gov, bramirez@newportbeachca.gov, dkopshever@newportbeachca.gov, tthai@newportbeachca.gov, odaluz@newportbeachca.gov; generic=",yes,yes,10,0,64,0,9,0,no_planning_contact_found,0,0,,,,,,,,
CA,Buena Park,city,83052,no_planning_contact_found,,https://www.cityofbuenapark.org/planning-and-zoning; https://www.cityofbuenapark.org/planning; https://www.cityofbuenapark.org/departments/planning; https://www.cityofbuenapark.org/community-development; https://www.cityofbuenapark.org/development-services; https://www.cityofbuenapark.org/staff; https://www.cityofbuenapark.org/directory; https://www.cityofbuenapark.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
TX,Longview,city,82765,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Redwood City,city,82423,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Mountain View,city,82363,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Folsom,city,82140,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Rancho Cordova,city,80656,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Lakewood,city,80510,no_planning_contact_found,,https://www.cityoflakewood.org/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
TX,Pharr,city,79809,no_planning_contact_found,,https://www.txdot.gov/about/districts/pharr-district.html/planning-and-zoning; https://www.txdot.gov/about/districts/pharr-district.html/planning; https://www.txdot.gov/about/districts/pharr-district.html/departments/planning; https://www.txdot.gov/about/districts/pharr-district.html/community-development; https://www.txdot.gov/about/districts/pharr-district.html/development-services; https://www.txdot.gov/about/districts/pharr-district.html/staff; https://www.txdot.gov/about/districts/pharr-district.html/directory; https://www.txdot.gov/about/districts/pharr-district.html/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Perris,city,79349,only_generic_email_found,info.calshpo@parks.ca.gov,https://www.parks.ca.gov/lakeperris; https://www.parks.ca.gov/Contact-Us; https://www.parks.ca.gov/?page_id=31316; https://www.parks.ca.gov/?page_id=24248,"raw_emails=kathy.bacha@parks.ca.gov, philip.harvey@parks.ca.gov, pubinfo@parks.ca.gov, privacy@parks.ca.gov, localservices@parks.ca.gov",yes,no,4,0,7,1,0,0,only_generic_email_found,0,0,,,,,,,,
CA,Tustin,city,79035,no_planning_contact_found,,https://www.tustincity.org/planning-and-zoning; https://www.tustincity.org/planning; https://www.tustincity.org/departments/planning; https://www.tustincity.org/community-development; https://www.tustincity.org/development-services; https://www.tustincity.org/staff; https://www.tustincity.org/directory; https://www.tustincity.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Upland,city,78940,only_generic_email_found,noreply@revize.com,https://www.uplandca.gov/; https://www.uplandca.gov/development_services/planning/general_plan_zoning_codes_maps.php; https://www.uplandca.gov/development_services/planning/zoning_clearance.php; https://www.uplandca.gov/committees/planning_commission.php; https://www.uplandca.gov/development_services/planning/index.php; https://www.uplandca.gov/development_services/planning/short_term_rentals.php; https://www.uplandca.gov/government/government/city_council_treasurercity_council_treasurerdepartments/city_council_treasurer/index.php; https://www.uplandca.gov/city_council_treasurergovernment/city_council_treasurergovernment/city_council_treasurerdepartments/mission_vision.php,"raw_emails=noreply@revize.com, webpageupdate_subscribers@revize.com, planning@uplandca.gov, uplandcityclerk@uplandca.gov, smaust@uplandca.gov",yes,yes,10,0,13,2,1,0,only_generic_email_found,0,0,,,,,,,,
CA,Napa,city,78816,no_planning_contact_found,,https://www.napacity.org/planning-and-zoning; https://www.napacity.org/planning; https://www.napacity.org/departments/planning; https://www.napacity.org/community-development; https://www.napacity.org/development-services; https://www.napacity.org/staff; https://www.napacity.org/directory; https://www.napacity.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
TX,Georgetown,city,78803,only_generic_email_found,planning@georgetowntexas.gov,https://georgetowntexas.gov/planning; https://georgetowntexas.gov/development_services/planning/index.php; https://georgetowntexas.gov/development_services/planning/housing/index.php; https://georgetowntexas.gov/development_services/planning/long_range_planning/georgetown_2030_plan/future_mobility_plan/sidewalk_master_plan/index.php; https://georgetowntexas.gov/development_services/planning/common_application_types/construction_specifications_and_standards.php; https://georgetowntexas.gov/; https://georgetowntexas.gov/development_services/economic_development/index.php; https://georgetowntexas.gov/askgtx,"raw_emails=planning@georgetowntexas.gov, noreply@revize.com, webpageupdate_subscribers@revize.com, david.munk@georgetowntexas.gov, ecodev@georgetowntexas.gov",yes,yes,10,0,36,4,0,0,only_generic_email_found,0,0,,,,,,,,
CA,Milpitas,city,78216,no_planning_contact_found,,https://www.milpitas.gov/31/Residents/planning-and-zoning; https://www.milpitas.gov/31/Residents/planning; https://www.milpitas.gov/31/Residents/community-development; https://www.milpitas.gov/31/Residents/development-services; https://www.milpitas.gov/31/Residents/staff; https://www.milpitas.gov/31/Residents/directory; https://www.milpitas.gov/31/Residents/Directory.aspx; https://www.milpitas.gov/directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Chino Hills,city,78024,only_generic_email_found,planning@chinohills.org,https://chinohills.org/planning; https://chinohills.org/1487/How-Do-I; https://chinohills.org/1900/Accessory-Dwelling-Units; https://chinohills.org/120/Community-Development-Director; https://chinohills.org/30/Planning-Commission; https://chinohills.org/121/Planning; https://chinohills.org/18/Community-Development; https://chinohills.org/directory,"raw_emails=planning@chinohills.org, communitydevelopment@chinohills.org, planningcommission@chinohills.org",yes,yes,10,0,3,2,5,0,only_generic_email_found,0,0,,,,,,,,
CA,Pleasanton,city,77500,no_planning_contact_found,,https://www.cityofpleasanton.org/planning-and-zoning; https://www.cityofpleasanton.org/planning; https://www.cityofpleasanton.org/departments/planning; https://www.cityofpleasanton.org/community-development; https://www.cityofpleasanton.org/development-services; https://www.cityofpleasanton.org/staff; https://www.cityofpleasanton.org/directory; https://www.cityofpleasanton.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
TX,Cedar Park,city,77474,no_planning_contact_found,,https://cityofcedarpark.org/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Bellflower,city,77396,no_planning_contact_found,,https://www.cityofbellflower.org/planning-and-zoning; https://www.cityofbellflower.org/planning; https://www.cityofbellflower.org/departments/planning; https://www.cityofbellflower.org/community-development; https://www.cityofbellflower.org/development-services; https://www.cityofbellflower.org/staff; https://www.cityofbellflower.org/directory; https://www.cityofbellflower.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
MN,Woodbury,city,76945,no_planning_contact_found,,https://www.woodburymn.org/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Alameda,city,76876,only_generic_email_found,planning@alamedaca.gov,https://www.alamedaca.gov/planning; https://www.alamedaca.gov/Departments/Planning-Building-and-Transportation/Planning-Division/Zoning-Regulations; https://www.alamedaca.gov/Departments/Planning-Building-and-Transportation/Planning-Division/Zoning-Regulations?oc_lang=en-US; https://www.alamedaca.gov/Departments/Planning-Building-and-Transportation/Planning-Division/Zoning-Regulations?oc_lang=es; https://www.alamedaca.gov/Departments/Planning-Building-and-Transportation/Planning-Division/Zoning-Regulations?oc_lang=zh-CN; https://www.alamedaca.gov/; https://www.alamedaca.gov/departments; https://www.alamedaca.gov/GOVERNMENT/Departments-Redirect,"raw_emails=planning@alamedaca.gov, shenry@alamedaca.gov, jowens@alamedaca.gov, rentprogram@alamedaca.gov, pio@alamedaca.gov",yes,yes,10,0,11,2,0,0,only_generic_email_found,0,0,,,,,,,,
CA,Pittsburg,city,75868,no_planning_contact_found,,https://www.teamca.org/membership/member-directory/p/item/26625/city-of-pittsburg/planning-and-zoning; https://www.teamca.org/membership/member-directory/p/item/26625/city-of-pittsburg/departments/planning; https://www.teamca.org/membership/member-directory/p/item/26625/city-of-pittsburg/planning; https://www.teamca.org/membership/member-directory/p/item/26625/city-of-pittsburg/community-development; https://www.teamca.org/membership/member-directory/p/item/26625/city-of-pittsburg; https://www.teamca.org/about-teamca/contact-us; https://www.teamca.org/teamca/about-teamca/contact-us; https://www.teamca.org/ca-opportunity/sites-and-buildings,"raw_emails=robin@teamca.org, rhickscarrera@pittsburgca.gov; generic=",yes,no,8,0,2,0,0,0,no_planning_contact_found,0,0,,,,,,,,
TX,Mansfield,city,75398,only_generic_email_found,permits@mansfieldtexas.gov,https://www.mansfieldtexas.gov/planning; https://www.mansfieldtexas.gov/FormCenter/Planning-Zoning-14/ZONING-CHANGE-APPLICATION-115; https://www.mansfieldtexas.gov/FormCenter/Planning-Zoning-14/ZONING-BOARD-OF-ADJUSTMENT-APPLICATION-117; https://www.mansfieldtexas.gov/2172/Development-Services-Customer-Satisfacti; https://www.mansfieldtexas.gov/331/Planning; https://www.mansfieldtexas.gov/directory; https://www.mansfieldtexas.gov/Directory.aspx; https://www.mansfieldtexas.gov/Directory.aspx?did=23,"raw_emails=permits@mansfieldtexas.gov, katasha.smithers@mansfieldtexas.gov, planning@mansfieldtexas.gov",yes,yes,10,0,3,2,2,0,only_generic_email_found,0,0,,,,,,,,
TX,Missouri City,city,75234,only_generic_email_found,planning@missouricitytx.gov,https://tx-missouricity.civicplus.com/1188/23260/New-Resident-Resources; https://tx-missouricity.civicplus.com/directory.aspx; https://tx-missouricity.civicplus.com/349/Planning-Zoning-Fees; https://tx-missouricity.civicplus.com/AlertCenter.aspx?AID=New-Planning-Zoning-Fees-116; https://tx-missouricity.civicplus.com/842/Development-Services; https://tx-missouricity.civicplus.com/943/Community-Development; https://tx-missouricity.civicplus.com/251/Community-Development-Block-Grant-CDBG; https://tx-missouricity.civicplus.com/Directory.aspx?did=67,"raw_emails=planning@missouricitytx.gov, mctxplanning@missouricitytx.gov, permits@missouricitytx.gov, cdbg@missouricitytx.gov",yes,yes,10,0,4,2,0,0,only_generic_email_found,0,0,,,,,,,,
CA,Redlands,city,72985,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CA,Turlock,city,72400,no_planning_contact_found,,https://www.cityofturlock.org/planning-and-zoning; https://www.cityofturlock.org/planning; https://www.cityofturlock.org/departments/planning; https://www.cityofturlock.org/community-development; https://www.cityofturlock.org/development-services; https://www.cityofturlock.org/staff; https://www.cityofturlock.org/directory; https://www.cityofturlock.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
FL,Sunrise,city,96633,no_planning_contact_found,,https://www.cityofsunrise.org/planning-and-zoning; https://www.cityofsunrise.org/planning; https://www.cityofsunrise.org/departments/planning; https://www.cityofsunrise.org/community-development; https://www.cityofsunrise.org/development-services; https://www.cityofsunrise.org/staff; https://www.cityofsunrise.org/directory; https://www.cityofsunrise.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
MI,Troy,city,87307,only_generic_email_found,noreply@troymi.gov,https://www.troymi.gov/planning; https://www.troymi.gov/departments/planning; https://www.troymi.gov/departments/planning/index.php; https://www.troymi.gov/departments/planning/city_master_plan.php; https://www.troymi.gov/departments/planning/big_beaver_corridor_study.php; https://www.troymi.gov/; https://www.troymi.gov/departments; https://www.troymi.gov/departments/city_treasurer/index.php,"raw_emails=noreply@troymi.gov, subscribers@troymi.gov",yes,yes,10,0,2,1,3,0,only_generic_email_found,0,0,,,,,,,,
GA,Alpharetta,city,66355,no_planning_contact_found,,https://www.alpharettaga.org/planning-and-zoning; https://www.alpharettaga.org/planning; https://www.alpharettaga.org/departments/planning; https://www.alpharettaga.org/community-development; https://www.alpharettaga.org/development-services; https://www.alpharettaga.org/staff; https://www.alpharettaga.org/directory; https://www.alpharettaga.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
WI,Kenosha,city,99147,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
FL,Boca Raton,city,98833,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
VA,Roanoke,city,98677,no_planning_contact_found,,https://www.cityofroanoke.org/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
OR,Beaverton,city,97502,no_planning_contact_found,,https://www.citydirectory.us/city-beaverton-oregon.html; https://www.citydirectory.us/contact.html; https://www.citydirectory.us/; https://www.citydirectory.us/vital-records-office-finder.html; https://www.citydirectory.us/counties.html,raw_emails=; generic=,yes,no,5,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
VA,Portsmouth,city,97299,no_planning_contact_found,,https://archive.org/details/pmouva-Portsmouth_Planning_Department_s_Upcoming_Innovation_District_Public_Hearings_Portsmouth_V; https://archive.org/,raw_emails=; generic=,yes,yes,2,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
WA,Yakima,city,96810,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
VA,Suffolk,city,96638,no_planning_contact_found,,http://www.suffolkvatax.us/planning-and-zoning; http://www.suffolkvatax.us/planning; http://www.suffolkvatax.us/departments/planning; http://www.suffolkvatax.us/community-development; http://www.suffolkvatax.us/development-services; http://www.suffolkvatax.us/staff; http://www.suffolkvatax.us/directory; http://www.suffolkvatax.us/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
FL,Deltona,city,95682,no_planning_contact_found,,https://www.deltonafl.gov/directory; https://www.deltonafl.gov/Directory.aspx; https://www.deltonafl.gov/Directory.aspx?did=30; https://www.deltonafl.gov/364/Planning-Development-Services; https://www.deltonafl.gov/Directory.aspx?did=20; https://www.deltonafl.gov/; https://www.deltonafl.gov/formcenter/Departments-5/Contact-Us-46; https://www.deltonafl.gov/formcenter/departments-5/contact-us-46,raw_emails=comdev@deltonafl.gov; generic=,yes,yes,10,0,1,0,1,0,no_planning_contact_found,0,0,,,,,,,,
PA,Reading,city,94836,only_generic_email_found,zoning@readingpa.gov,https://www.readingpa.gov/; https://www.readingpa.gov/zoning-and-planning; https://www.readingpa.gov/housing-and-community-development; https://www.readingpa.gov/planning-and-land-development; http://www.readingpa.gov/index.php/zoning-and-planning; https://www.readingpa.gov/planning-commission-1; https://www.readingpa.gov/press-releases/1930-reading-police-department-temporarily-relocating-desk-sergeant-and-dispatch-operations-to-berks-county-courthouse; https://www.readingpa.gov/calendar/zoning-hearing-board-15,raw_emails=zoning@readingpa.gov,yes,yes,10,0,1,1,2,0,only_generic_email_found,0,0,,,,,,,,
MI,Livonia,city,94058,jurisdiction_mismatch,,http://ci.livonia.mi.us/directory; http://ci.livonia.mi.us/Directory.aspx; http://ci.livonia.mi.us/Directory.aspx?did=18; http://ci.livonia.mi.us/237/Planning; http://ci.livonia.mi.us/255/Planning-Commission; http://ci.livonia.mi.us/Directory.aspx?did=20; http://ci.livonia.mi.us/?level=1; http://ci.livonia.mi.us/101/Departments,"domain implies IA, not MI: https://livonia.gov",yes,yes,9,0,4,2,1,1,jurisdiction_mismatch,0,0,,,,,,,,
FL,Plantation,city,94002,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
GA,Roswell,city,92577,no_official_site_found,,,"Could not resolve official website (resolver=none, searches=8, rejections=38)",no,no,0,0,0,0,0,0,no_official_site_found,0,0,,,,,,,,
WA,Bellingham,city,92367,no_planning_contact_found,,https://www.bellinghamwa.org/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
WA,Kirkland,city,91614,no_planning_contact_found,,https://www.kirklandwa.gov/; https://www.kirklandwa.gov/Government/Staff-Directory; https://www.kirklandwa.gov/Government/Contact-Us/Staff-Directory?oc_lang=en-US; https://www.kirklandwa.gov/Government/Contact-Us/Staff-Directory?oc_lang=es; https://www.kirklandwa.gov/Government/Contact-Us/Staff-Directory?oc_lang=zh-CN; https://www.kirklandwa.gov/Government/Departments/Finance-and-Administration/Customer-Accounts/Utility-Billing/Pay-a-Utility-Bill; https://www.kirklandwa.gov/Government/Departments/Finance-and-Administration/Our-Kirkland; https://www.kirklandwa.gov/Government/Departments/Development-Services-Center/Development-Services-Virtual-Appointments,"raw_emails=utilitybilling@kirklandwa.gov, i405sr167program@wsdot.wa.gov, developmentservicesvirtualappintments@cityofkirkland.onmicrosoft.com; generic=",yes,yes,10,0,3,0,0,0,no_planning_contact_found,0,0,,,,,,,,
CT,Norwalk,city,91375,no_planning_contact_found,,https://www.cityofnorwalk.org/planning-and-zoning; https://www.cityofnorwalk.org/planning; https://www.cityofnorwalk.org/departments/planning; https://www.cityofnorwalk.org/community-development; https://www.cityofnorwalk.org/development-services; https://www.cityofnorwalk.org/staff; https://www.cityofnorwalk.org/directory; https://www.cityofnorwalk.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
FL,Deerfield Beach,city,86742,no_official_site_found,,,"Could not resolve official website (resolver=none, searches=8, rejections=40)",no,no,0,0,0,0,0,0,no_official_site_found,0,0,,,,,,,,
OR,Medford,city,85794,only_generic_email_found,planning@cityofmedford.org,https://www.medfordoregon.gov/Home; https://www.medfordoregon.gov/Business/Development-Services/Planning-Zoning-Dev-Services; https://www.medfordoregon.gov/Government/Departments/Planning/Planning-Zoning-Landing-Page?oc_lang=en-US; https://www.medfordoregon.gov/Government/Departments/Planning/Planning-Zoning-Landing-Page?oc_lang=es; https://www.medfordoregon.gov/Government/Departments/Planning/Planning-Zoning-Landing-Page/Comprehensive-Plan; https://www.medfordoregon.gov/Government/Departments/Planning/Planning-Zoning-Landing-Page/Information-Center,"raw_emails=recorder@cityofmedford.org, planning@cityofmedford.org",yes,yes,6,0,2,1,0,0,only_generic_email_found,0,0,,,,,,,,
FL,Melbourne,city,85718,only_generic_email_found,community.development@mlbfl.org,https://www.melbournefl.org/; https://www.melbournefl.org/departments,"raw_emails=city.hall@mlbfl.org, city.manager@mlbfl.org, city.attorney@mlbfl.org, code.compliance@mlbfl.org, city.clerk@mlbfl.org",yes,no,2,0,8,1,0,0,only_generic_email_found,0,0,,,,,,,,
WA,Auburn,city,85455,no_planning_contact_found,,https://www.auburnwa.org/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
WA,Kennewick,city,84389,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
MI,Westland,city,84155,no_planning_contact_found,,https://cityofwestland.org/planning-and-zoning; https://cityofwestland.org/planning; https://cityofwestland.org/departments/planning; https://cityofwestland.org/community-development; https://cityofwestland.org/development-services; https://cityofwestland.org/staff; https://cityofwestland.org/directory; https://cityofwestland.org/Directory.aspx,raw_emails=; generic=,yes,yes,10,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
MI,Farmington Hills,city,83316,no_planning_contact_found,,https://www.farmingtonhillsmi.org/,"raw_emails=doc@model.id, 03d@2x.png; generic=",yes,no,1,0,2,0,0,0,no_planning_contact_found,0,0,,,,,,,,
RI,Warwick,city,82871,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
FL,Largo,city,82506,no_official_site_found,,,"Could not resolve official website (resolver=none, searches=8, rejections=40)",no,no,0,0,0,0,0,0,no_official_site_found,0,0,,,,,,,,
GA,Warner Robins,city,81438,no_planning_contact_found,,,No staff/planning pages returned content on official domain,yes,yes,0,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
